date,open,high,low,close,adjusted_close,volume
2025-05-09,41.42,42.105,41.155,41.61,41.61,26884455
2025-04-30,41.99,42.175,35.76,41.3,41.3,198452210
2025-03-31,43.3,43.8613,40.6025,41.85,41.85,125449290
2025-02-28,41.08,43.245,40.68,43.15,42.8797,95455271
2025-01-31,40.72,42.005,39.05,41.42,41.1606,120794017
2024-12-31,44.75,44.83,39.925,40.67,40.4152,107848463
2024-11-29,43.49,45.4821,42.19,45.0,44.2449,108955823
2024-10-31,44.8,44.98,42.84,43.2,42.4751,98138912
2024-09-30,43.27,45.5799,43.2332,44.67,43.9204,102700704
2024-08-30,41.62,43.67,40.53,43.55,42.524,140183572
2024-07-31,38.32,41.64,37.81,41.19,40.2196,119334024
2024-06-28,38.12,39.025,37.53,38.41,37.5051,91741445
2024-05-31,36.18,39.0075,36.075,38.05,36.7823,177320028
2024-04-30,39.61,39.62,35.5699,36.19,34.9842,193577720
2024-03-28,39.01,40.33,38.28,39.53,38.2129,133752208
2024-02-29,38.05,39.32,37.075,39.11,37.5516,174524212
2024-01-31,39.97,40.45,38.035,38.13,36.6107,137881500
2023-12-29,37.22,40.75,37.11,40.06,38.4638,120414624
2023-11-30,33.14,37.265,32.905,37.23,35.3695,131815923
2023-10-31,33.94,34.97,31.99,33.1,31.4459,172957779
2023-09-29,37.25,37.305,33.4591,34.07,32.3674,102200527
2023-08-31,38.09,38.275,35.575,37.02,34.8893,108104631
2023-07-31,37.54,39.1999,37.26,38.19,35.992,106699751
2023-06-30,36.01,38.06,35.68,37.69,35.5208,96409341
2023-05-31,37.63,37.83,35.04,36.04,33.6389,89313970
2023-04-28,37.29,37.88,36.34,37.75,35.2349,93145025
2023-03-31,37.97,38.96,34.34,37.38,34.8896,164055721
2023-02-28,40.42,42.21,37.944,38.21,35.4151,108062300
2023-01-31,37.23,40.645,36.61,40.59,37.621,113151595
2022-12-30,39.63,40.0,36.095,36.93,34.2287,124255972
2022-11-30,37.1,39.27,35.03,39.24,35.9569,148771707
2022-10-31,36.58,37.6,33.125,36.73,33.6569,175873208
2022-09-30,41.53,43.475,35.42,36.01,32.9971,127861705
2022-08-31,44.14,45.865,41.75,41.85,38.0021,71983973
2022-07-29,40.78,44.54,39.99,44.34,40.2632,82317515
2022-06-30,44.39,44.42,38.63,40.86,37.1031,154698767
2022-05-31,46.73,46.89,41.37,44.22,39.839,270853198
2022-04-29,48.55,50.97,46.49,46.6,41.9832,142992160
2022-03-31,45.29,49.22,44.73,48.32,43.5328,123494967
2022-02-28,47.34,47.9345,43.0,45.07,40.3727,125568186
2022-01-31,51.98,51.98,44.8,47.34,42.4062,174937058
2021-12-31,47.9,52.17,46.74,51.81,46.4103,151297203
2021-11-30,47.94,49.195,47.145,47.39,42.0878,131668888
2021-10-29,44.74,48.4,43.95,47.82,42.4696,135177265
2021-09-30,47.75,48.805,44.45,44.45,39.4767,142199418
2021-08-31,46.62,47.74,45.99,47.68,42.1079,104454158
2021-07-30,44.32,46.93,44.165,46.38,40.9598,102932732
2021-06-30,43.48,45.81,43.28,44.33,39.1494,94977860
2021-05-28,42.87,43.41,41.02,43.26,37.9633,105554103
2021-04-30,39.68,42.81,39.47,42.77,37.5333,82926608
2021-03-31,37.76,40.0,35.89,39.49,34.6549,130129281
2021-02-26,36.99,38.9,36.52,37.34,32.4474,67858899
2021-01-29,36.64,37.69,34.65,36.76,31.9434,90856182
2020-12-31,36.87,37.36,35.3,36.56,31.7696,64992433
2020-11-30,34.53,39.11,34.29,36.5,31.308,98337884
2020-10-30,35.4,37.25,33.71,34.15,29.2923,84788507
2020-09-30,36.14,37.515,33.74,35.27,30.2529,101437242
2020-08-31,36.13,36.75,35.1701,36.25,30.9024,69560440
2020-07-31,34.95,36.6,34.36,36.26,30.911,134150072
2020-06-30,34.62,37.86,33.26,34.81,29.6749,109529703
2020-05-29,33.09,34.91,30.03,34.65,29.3119,123154325
2020-04-30,29.6,35.95,28.48,33.92,28.6943,222679433
2020-03-31,36.97,40.14,24.88,31.0,26.2242,334485526
2020-02-28,39.39,42.0,35.693,36.79,30.8774,137240651
2020-01-31,38.79,40.21,37.885,39.23,32.9252,87118079
2019-12-31,38.55,38.71,37.26,38.67,32.4552,83224052
2019-11-29,39.38,39.515,37.55,38.65,32.0919,69811252
2019-10-31,39.3,40.34,38.53,39.33,32.6565,79715432
2019-09-30,39.15,40.14,38.465,39.34,32.6648,91781945
2019-08-30,37.52,39.39,36.62,39.21,32.3392,105256320
2019-07-31,36.95,38.31,36.285,37.41,30.8547,91234852
2019-06-28,36.6,38.62,36.1,36.77,30.3268,85502765
2019-05-31,36.06,36.99,35.26,36.47,29.8401,75859489
2019-04-30,36.27,36.71,34.825,36.03,29.4801,77910943
2019-03-29,34.77,36.307,34.265,36.22,29.6356,93941919
2019-02-28,34.38,35.22,33.67,34.71,28.238,85779433
2019-01-31,30.8,34.39,30.11,34.33,27.9289,122724719
2018-12-31,33.9,34.5,29.52,31.0,25.2198,159212903
2018-11-30,32.18,33.885,31.58,33.85,27.2143,87909835
2018-10-31,32.61,32.75,30.65,32.09,25.7993,106059987
2018-09-28,33.78,33.96,32.07,32.61,26.2174,38899396
2018-08-31,32.8,34.135,32.65,33.85,26.9299,53328204
2018-07-31,32.67,33.35,32.14,33.05,26.2934,56288683
2018-06-29,31.57,32.86,31.285,32.71,26.0229,59265607
2018-05-31,30.94,31.81,30.43,31.58,24.9115,46733895
2018-04-30,31.12,31.34,30.033,30.89,24.3672,76180652
2018-03-29,30.12,31.415,29.61,31.08,24.517,109914708
2018-02-28,32.21,32.42,29.17,30.11,23.6134,108788282
